Gender,Age,Occupation,Income,visit_URL,publisher,Personalized_Info,Day_of_Week,Browse_Time,phone_brand,Call_Time
female,50_60,student,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,XiaoMi,noon
female,below_20,managers,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,Lenovo,night
female,50_60,machinery,high,SellBuy_Cars,Maybank,Stock_Gold_Insurance,Wednesday,Afternoon,Acer,noon
female,20_30,managers,high,SellBuy_Cars,Maybank,Stock_Gold_Insurance,Wednesday,Afternoon,Sony,night
male,20_30,technicians,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Saturday,Night,HTC,evening
male,30_40,sales,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Saturday,Night,XiaoMi,afternoon
male,20_30,machinery,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Saturday,Night,Samsung,night
female,below_20,admin,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Friday,Morning,Acer,noon
female,30_40,student,high,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,Acer,night
male,20_30,managers,low,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,Sony,night
female,20_30,student,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,Lenovo,morning
female,below_20,sales,moderate,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,Acer,evening
female,20_30,machinery,moderate,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,Samsung,afternoon
female,20_30,technicians,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Afternoon,HTC,afternoon
female,30_40,sales,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Sunday,Late_Night,Apple,morning
female,below_20,sales,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Sunday,Late_Night,Samsung,night
female,below_20,housewife,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Saturday,Night,XiaoMi,noon
female,50_60,machinery,moderate,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Thursday,Late_Night,Samsung,evening
male,20_30,housewife,low,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Thursday,Late_Night,Sony,evening
female,below_20,admin,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Thursday,Late_Night,Apple,afternoon
male,30_40,managers,moderate,Vacation_Deals,Maybank,Stock_Gold_Insurance,Sunday,Evening,Apple,noon
female,20_30,admin,moderate,eBanking,Hmetro,Breaking_News_Oil,Tuesday,Night,XiaoMi,morning
female,below_20,student,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Monday,Morning,XiaoMi,night
female,30_40,housewife,high,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Monday,Morning,Lenovo,evening
female,50_60,machinery,moderate,CheapFlights,Mudah,Cheap_Secondhand,Saturday,Morning,Apple,afternoon
female,below_20,sales,high,eBanking,Maybank,Stock_Gold_Insurance,Wednesday,Afternoon,Apple,afternoon
female,below_20,technicians,moderate,eBanking,Maybank,Stock_Gold_Insurance,Monday,Afternoon,Sony,afternoon
male,30_40,managers,moderate,CheapFlights,Maybank,Stock_Gold_Insurance,Friday,Late_Night,Sony,noon
male,50_60,managers,moderate,CheapFlights,Maybank,Stock_Gold_Insurance,Wednesday,Late_Night,HTC,noon
male,20_30,managers,high,SellBuy_Cars,Maybank,Stock_Gold_Insurance,Thursday,Evening,Samsung,evening
female,below_20,student,low,Vacation_Deals,Maybank,Stock_Gold_Insurance,Saturday,Morning,Lenovo,morning
female,below_20,technicians,moderate,eBanking,Maybank,Stock_Gold_Insurance,Wednesday,Morning,Samsung,afternoon
female,30_40,managers,low,SellBuy_Cars,Maybank,Stock_Gold_Insurance,Tuesday,Evening,Samsung,evening
male,below_20,sales,moderate,eBanking,Maybank,Stock_Gold_Insurance,Wednesday,Noon,XiaoMi,morning
female,20_30,admin,high,CheapFlights,Maybank,Stock_Gold_Insurance,Tuesday,Afternoon,XiaoMi,afternoon
female,30_40,technicians,high,CheapFlights,jobstreet,Salary,Sunday,Afternoon,Sony,afternoon
female,30_40,managers,low,eBanking,jobstreet,Salary,Saturday,Night,Acer,night
female,50_60,technicians,high,CheapFlights,jobstreet,Salary,Saturday,Night,Nokia,noon
female,50_60,managers,high,Vacation_Deals,jobstreet,Salary,Sunday,Evening,Sony,evening
male,20_30,technicians,high,Vacation_Deals,Paultan,LatestCarModels,Saturday,Late_Night,Nokia,afternoon
male,30_40,housewife,moderate,SellBuy_Cars,Paultan,LatestCarModels,Saturday,Night,Lenovo,noon
female,30_40,sales,high,Government_Policy,Paultan,LatestCarModels,Saturday,Night,Samsung,morning
male,below_20,sales,high,CheapFlights,lowyat,Gadgets,Saturday,Night,Lenovo,noon
female,below_20,sales,high,Properties,lowyat,Gadgets,Saturday,Night,Samsung,night
male,30_40,managers,low,Properties,Paultan,LatestCarModels,Saturday,Night,Apple,afternoon
female,below_20,student,high,CheapFlights,Maybank,Stock_Gold_Insurance,Friday,Morning,HTC,noon
male,below_20,housewife,high,Vacation_Deals,Maybank,Stock_Gold_Insurance,Friday,Morning,Nokia,evening
female,30_40,housewife,moderate,Vacation_Deals,Mudah,Cheap_Secondhand,Sunday,Night,Sony,morning
female,20_30,housewife,moderate,eBanking,Mudah,Cheap_Secondhand,Tuesday,Night,Sony,afternoon
male,20_30,admin,low,Properties,Mudah,Cheap_Secondhand,Monday,Night,XiaoMi,noon
male,20_30,machinery,low,Properties,lowyat,Gadgets,Saturday,Morning,HTC,afternoon
female,20_30,managers,moderate,Vacation_Deals,lowyat,Gadgets,Tuesday,Night,XiaoMi,morning
male,below_20,admin,low,Properties,Paultan,LatestCarModels,Tuesday,Morning,Sony,afternoon
female,30_40,student,moderate,Vacation_Deals,lowyat,Gadgets,Wednesday,Evening,Nokia,noon
female,50_60,housewife,low,SellBuy_Cars,lowyat,Gadgets,Wednesday,Evening,Lenovo,noon
male,below_20,managers,low,Vacation_Deals,lowyat,Gadgets,Wednesday,Evening,Samsung,afternoon
female,20_30,student,high,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Saturday,Afternoon,Samsung,evening
male,below_20,admin,moderate,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Saturday,Afternoon,Lenovo,noon
female,below_20,technicians,high,eBanking,MalaysiaKini,CurrentPoliticalIssues,Saturday,Afternoon,Sony,night
male,50_60,student,high,SellBuy_Cars,jobstreet,Salary,Wednesday,Noon,XiaoMi,noon
female,below_20,housewife,low,Vacation_Deals,AirAsia,AirFarePromotion,Sunday,Late_Night,Apple,morning
male,50_60,machinery,moderate,eBanking,AirAsia,AirFarePromotion,Sunday,Late_Night,XiaoMi,night
male,20_30,student,moderate,Properties,AirAsia,AirFarePromotion,Sunday,Late_Night,Lenovo,morning
male,20_30,managers,moderate,Properties,AirAsia,AirFarePromotion,Sunday,Late_Night,HTC,afternoon
female,50_60,student,low,Vacation_Deals,Mudah,Cheap_Secondhand,Sunday,Morning,Acer,morning
female,below_20,housewife,high,Vacation_Deals,Mudah,Cheap_Secondhand,Sunday,Morning,Lenovo,noon
female,20_30,technicians,low,CheapFlights,Mudah,Cheap_Secondhand,Sunday,Morning,XiaoMi,evening
male,50_60,student,moderate,Properties,Mudah,Cheap_Secondhand,Sunday,Morning,Sony,night
female,20_30,sales,low,CheapFlights,Mudah,Cheap_Secondhand,Sunday,Morning,XiaoMi,morning
male,20_30,admin,high,eBanking,Mudah,Cheap_Secondhand,Sunday,Morning,Apple,afternoon
female,30_40,student,moderate,SellBuy_Cars,Mudah,Cheap_Secondhand,Sunday,Morning,Apple,night
female,50_60,technicians,high,CheapFlights,Mudah,Cheap_Secondhand,Friday,Late_Night,XiaoMi,evening
male,below_20,managers,moderate,Government_Policy,Mudah,Cheap_Secondhand,Friday,Late_Night,XiaoMi,noon
male,50_60,managers,high,Government_Policy,Mudah,Cheap_Secondhand,Friday,Late_Night,HTC,morning
male,below_20,admin,high,SellBuy_Cars,Mudah,Cheap_Secondhand,Friday,Late_Night,HTC,afternoon
female,50_60,admin,low,Properties,AirAsia,AirFarePromotion,Friday,Night,XiaoMi,noon
female,below_20,technicians,high,eBanking,AirAsia,AirFarePromotion,Monday,Morning,Lenovo,morning
male,below_20,managers,high,Properties,Mudah,Cheap_Secondhand,Wednesday,Morning,HTC,afternoon
male,30_40,technicians,high,SellBuy_Cars,Mudah,Cheap_Secondhand,Wednesday,Morning,Nokia,night
male,30_40,managers,high,Properties,Mudah,Cheap_Secondhand,Wednesday,Morning,HTC,evening
female,50_60,machinery,high,Vacation_Deals,Mudah,Cheap_Secondhand,Wednesday,Morning,Sony,night
male,50_60,housewife,moderate,Government_Policy,AirAsia,AirFarePromotion,Sunday,Late_Night,Lenovo,morning
female,50_60,housewife,low,Vacation_Deals,Mudah,Cheap_Secondhand,Sunday,Morning,Apple,noon
female,below_20,managers,low,CheapFlights,Mudah,Cheap_Secondhand,Thursday,Night,Apple,night
male,50_60,student,low,Vacation_Deals,Mudah,Cheap_Secondhand,Monday,Night,Lenovo,evening
male,30_40,machinery,moderate,Government_Policy,Mudah,Cheap_Secondhand,Monday,Night,Nokia,noon
male,below_20,student,low,Vacation_Deals,Mudah,Cheap_Secondhand,Monday,Night,XiaoMi,afternoon
female,50_60,sales,low,eBanking,AirAsia,AirFarePromotion,Friday,Late_Night,Apple,evening
male,50_60,technicians,low,Vacation_Deals,AirAsia,AirFarePromotion,Sunday,Morning,Sony,night
male,50_60,technicians,moderate,Properties,AirAsia,AirFarePromotion,Sunday,Morning,Nokia,night
male,below_20,technicians,low,SellBuy_Cars,AirAsia,AirFarePromotion,Sunday,Morning,Apple,morning
male,below_20,managers,low,Properties,AirAsia,AirFarePromotion,Sunday,Morning,Samsung,morning
male,50_60,machinery,moderate,Government_Policy,AirAsia,AirFarePromotion,Sunday,Morning,Samsung,evening
